id,AssetClass,Quantity,RatingLevel,HRCategories,BudgetCategories
Group BREST_P31_Y631_HT_TT_VTS72_33_70P1_Transformateurs_de_Mesure_TDM_50,Transformateurs de Mesure,1,HTB1,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P31_Y631_HT_Y_Sans_Type_Transformateurs_de_Puissance_TDP,Transformateurs de Puissance,1,HTB1,"""[""BRETAGNE"",""Transformateurs de Puissance""]""",
Group BREST_P32_BC31_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,Sectionneurs,1,HTB1,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P32_L31LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,Transformateurs de Mesure,1,HTB1,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P32_L32LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,Transformateurs de Mesure,1,HTB1,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P61_BC61_HT_DJ_OP63_Disjoncteurs_DJ_50,Disjoncteurs,1,HTB2,"""[""BRETAGNE"",""Disjoncteurs""]""",
Group BREST_P61_BC61_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,Sectionneurs,1,HTB2,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P61_BO61_HT_SansType_Controles_Commande_Local_FondPoste_Analogique,Contrôles Commande Local,1,HTB2,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P61_L61LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB2,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P61_L61LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,Disjoncteurs,1,HTB2,"""[""POITOU CHARENTES"",""Disjoncteurs""]""",
Group BREST_P61_L61LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,Sectionneurs,1,HTB2,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P61_L61LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,Transformateurs de Mesure,1,HTB2,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P61_L61PARIS_HT_DJ_FXT_72_Disjoncteurs_DJ_35,Disjoncteurs,1,HTB2,"""[""BRETAGNE"",""Disjoncteurs""]""",
Group BREST_P61_L61PARIS_HT_Electre_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB2,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P61_L61PARIS_HT_S_SPE_72_2_Rep_LT_Sectionneurs_SA_45,Sectionneurs,1,HTB2,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P61_L61PARIS_HT_TC_SDA_72_90_Transformateurs_de_Mesure_TDM>=30,Transformateurs de Mesure,1,HTB2,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P61_L62LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB2,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P61_L62LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,Disjoncteurs,1,HTB2,"""[""POITOU CHARENTES"",""Disjoncteurs""]""",
Group BREST_P61_L62LILLE_HT_Electre_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB2,"""[""POITOU CHARENTES"",""Contrôles Commande Local""]""",
Group BREST_P61_L62LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,Sectionneurs,1,HTB2,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P61_L62LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,Transformateurs de Mesure,1,HTB2,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P61_Y631_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB2,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P61_Y631_HT_DJ_HPGE_9_12E_Disjoncteurs_DJ_40,Disjoncteurs,1,HTB2,"""[""BRETAGNE"",""Disjoncteurs""]""",
Group BREST_P61_Y631_HT_S_5361_Rep_LT_Sectionneurs_SA_50,Sectionneurs,1,HTB2,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P61_Y631_HT_TT_VTS72_33_70P1_Transformateurs_de_Mesure_TDM_50,Transformateurs de Mesure,1,HTB2,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P61_Y761_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB2,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P61_Y761_HT_DJ_HPGE_9_12E_Disjoncteurs_DJ_40,Disjoncteurs,1,HTB2,"""[""BRETAGNE"",""Disjoncteurs""]""",
Group BREST_P61_Y761_HT_S_5361_Rep_LT_Sectionneurs_SA_50,Sectionneurs,1,HTB2,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P61_Y761_HT_TT_VTS72_33_70P1_Transformateurs_de_Mesure_TDM_50,Transformateurs de Mesure,1,HTB2,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P61_Y761_HT_Y_Sans_Type_Transformateurs_de_Puissance_TDP,Transformateurs de Puissance,1,HTB2,"""[""BRETAGNE"",""Transformateurs de Puissance""]""",
Group BREST_P62_BC61_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,Sectionneurs,1,HTB2,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P62_L61LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,Transformateurs de Mesure,1,HTB2,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P62_L62LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,Transformateurs de Mesure,1,HTB2,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P71_BC71_HT_DJ_OP63_Disjoncteurs_DJ_50,Disjoncteurs,1,HTB3,"""[""BRETAGNE"",""Disjoncteurs""]""",
Group BREST_P71_BC71_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,Sectionneurs,1,HTB3,"""[""ATLANTIQUE"",""Sectionneurs""]""",
Group BREST_P71_BO71_HT_SansType_Controles_Commande_Local_FondPoste_Analogique,Contrôles Commande Local,1,HTB3,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P71_L71LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB3,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P71_L71LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,Disjoncteurs,1,HTB3,"""[""POITOU CHARENTES"",""Disjoncteurs""]""",
Group BREST_P71_L71LILLE_HT_Electre_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB3,"""[""POITOU CHARENTES"",""Contrôles Commande Local""]""",
Group BREST_P71_L71LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,Sectionneurs,1,HTB3,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P71_L71LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,Transformateurs de Mesure,1,HTB3,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P71_L71PARIS_HT_DJ_FXT_72_Disjoncteurs_DJ_35,Disjoncteurs,1,HTB3,"""[""BRETAGNE"",""Disjoncteurs""]""",
Group BREST_P71_L71PARIS_HT_Electre_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB3,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P71_L71PARIS_HT_S_SPE_72_2_Rep_LT_Sectionneurs_SA_45,Sectionneurs,1,HTB3,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P71_L71PARIS_HT_TC_SDA_72_90_Transformateurs_de_Mesure_TDM>=30,Transformateurs de Mesure,1,HTB3,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P71_L72LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB3,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P71_L72LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,Disjoncteurs,1,HTB3,"""[""POITOU CHARENTES"",""Disjoncteurs""]""",
Group BREST_P71_L72LILLE_HT_Electre_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB3,"""[""POITOU CHARENTES"",""Contrôles Commande Local""]""",
Group BREST_P71_L72LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,Sectionneurs,1,HTB3,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P71_L72LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,Transformateurs de Mesure,1,HTB3,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P71_Y761_HT_DJ_HPGE_9_12E_Disjoncteurs_DJ_40,Disjoncteurs,1,HTB3,"""[""BRETAGNE"",""Disjoncteurs""]""",
Group BREST_P71_Y761_HT_Electre_Controles_Commande_Local_Tranche_Analogique,Contrôles Commande Local,1,HTB3,"""[""BRETAGNE"",""Contrôles Commande Local""]""",
Group BREST_P71_Y761_HT_S_5361_Rep_LT_Sectionneurs_SA_50,Sectionneurs,1,HTB3,"""[""BRETAGNE"",""Sectionneurs""]""",
Group BREST_P71_Y761_HT_TT_VTS72_33_70P1_Transformateurs_de_Mesure_TDM_50,Transformateurs de Mesure,1,HTB3,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P72_BC71_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,Sectionneurs,1,HTB3,"""[""ATLANTIQUE"",""Sectionneurs""]""",
Group BREST_P72_L71LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,Transformateurs de Mesure,1,HTB3,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BREST_P72_L72LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,Transformateurs de Mesure,1,HTB3,"""[""BRETAGNE"",""Transformateurs de Mesure""]""",
Group BRESTL31LILLE,Lignes Entières,1,HTB1,"""[""BRETAGNE"",""Lignes Entières""]""",
Group BRESTL31LILLE_10_2_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL31LILLE_10_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL31LILLE_10_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL31LILLE_1_1_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL31LILLE_1_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL31LILLE_1_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL31LILLE_2_3_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL31LILLE_2_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL31LILLE_2_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL31LILLE_3_4_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL31LILLE_3_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL31LILLE_3_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL31LILLE_4_5_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL31LILLE_4_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL31LILLE_4_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL31LILLE_5_6_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL31LILLE_5_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL31LILLE_5_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL31LILLE_6_7_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL31LILLE_6_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL31LILLE_6_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL31LILLE_7_8_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL31LILLE_7_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL31LILLE_7_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL31LILLE_8_9_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL31LILLE_8_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL31LILLE_8_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL31LILLE_9_10_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL31LILLE_9_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL31LILLE_9_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL31PARIS_10_12_Pylones_Beton,Pylônes,1,HTB1,"""[""ANJOU"",""Pylônes""]""",
Group BRESTL31PARIS_10_Lignes_Aeriennes_AluminiumAcier,Lignes Aériennes,3,HTB1,"""[""ANJOU"",""Lignes Aériennes""]""",
Group BRESTL31PARIS_10_Lignes_Souterraines_PapierImpregne,Lignes Souterraines,3,HTB1,"""[""ANJOU"",""Lignes Souterraines""]""",
Group BRESTL31PARIS_1_11_Pylones_Beton,Pylônes,1,HTB1,"""[""ANJOU"",""Pylônes""]""",
Group BRESTL31PARIS_1_Lignes_Aeriennes_AluminiumAcier,Lignes Aériennes,3,HTB1,"""[""ANJOU"",""Lignes Aériennes""]""",
Group BRESTL31PARIS_1_Lignes_Souterraines_PapierImpregne,Lignes Souterraines,3,HTB1,"""[""ANJOU"",""Lignes Souterraines""]""",
Group BRESTL31PARIS_2_13_Pylones_Beton,Pylônes,1,HTB1,"""[""ANJOU"",""Pylônes""]""",
Group BRESTL31PARIS_2_Lignes_Aeriennes_AluminiumAcier,Lignes Aériennes,3,HTB1,"""[""ANJOU"",""Lignes Aériennes""]""",
Group BRESTL31PARIS_2_Lignes_Souterraines_PapierImpregne,Lignes Souterraines,3,HTB1,"""[""ANJOU"",""Lignes Souterraines""]""",
Group BRESTL31PARIS_3_14_Pylones_Beton,Pylônes,1,HTB1,"""[""ANJOU"",""Pylônes""]""",
Group BRESTL31PARIS_3_Lignes_Aeriennes_AluminiumAcier,Lignes Aériennes,3,HTB1,"""[""ANJOU"",""Lignes Aériennes""]""",
Group BRESTL31PARIS_3_Lignes_Souterraines_PapierImpregne,Lignes Souterraines,3,HTB1,"""[""ANJOU"",""Lignes Souterraines""]""",
Group BRESTL31PARIS_4_15_Pylones_Beton,Pylônes,1,HTB1,"""[""ANJOU"",""Pylônes""]""",
Group BRESTL31PARIS_4_Lignes_Aeriennes_AluminiumAcier,Lignes Aériennes,3,HTB1,"""[""ANJOU"",""Lignes Aériennes""]""",
Group BRESTL31PARIS_4_Lignes_Souterraines_PapierImpregne,Lignes Souterraines,3,HTB1,"""[""ANJOU"",""Lignes Souterraines""]""",
Group BRESTL31PARIS_5_16_Pylones_Beton,Pylônes,1,HTB1,"""[""ANJOU"",""Pylônes""]""",
Group BRESTL31PARIS_5_Lignes_Aeriennes_AluminiumAcier,Lignes Aériennes,3,HTB1,"""[""ANJOU"",""Lignes Aériennes""]""",
Group BRESTL31PARIS_5_Lignes_Souterraines_PapierImpregne,Lignes Souterraines,3,HTB1,"""[""ANJOU"",""Lignes Souterraines""]""",
Group BRESTL31PARIS_6_17_Pylones_Beton,Pylônes,1,HTB1,"""[""ANJOU"",""Pylônes""]""",
Group BRESTL31PARIS_6_Lignes_Aeriennes_AluminiumAcier,Lignes Aériennes,3,HTB1,"""[""ANJOU"",""Lignes Aériennes""]""",
Group BRESTL31PARIS_6_Lignes_Souterraines_PapierImpregne,Lignes Souterraines,3,HTB1,"""[""ANJOU"",""Lignes Souterraines""]""",
Group BRESTL31PARIS_7_18_Pylones_Beton,Pylônes,1,HTB1,"""[""ANJOU"",""Pylônes""]""",
Group BRESTL31PARIS_7_Lignes_Aeriennes_AluminiumAcier,Lignes Aériennes,3,HTB1,"""[""ANJOU"",""Lignes Aériennes""]""",
Group BRESTL31PARIS_7_Lignes_Souterraines_PapierImpregne,Lignes Souterraines,3,HTB1,"""[""ANJOU"",""Lignes Souterraines""]""",
Group BRESTL31PARIS_8_19_Pylones_Beton,Pylônes,1,HTB1,"""[""ANJOU"",""Pylônes""]""",
Group BRESTL31PARIS_8_Lignes_Aeriennes_AluminiumAcier,Lignes Aériennes,3,HTB1,"""[""ANJOU"",""Lignes Aériennes""]""",
Group BRESTL31PARIS_8_Lignes_Souterraines_PapierImpregne,Lignes Souterraines,3,HTB1,"""[""ANJOU"",""Lignes Souterraines""]""",
Group BRESTL31PARIS_9_20_Pylones_Beton,Pylônes,1,HTB1,"""[""ANJOU"",""Pylônes""]""",
Group BRESTL31PARIS_9_Lignes_Aeriennes_AluminiumAcier,Lignes Aériennes,3,HTB1,"""[""ANJOU"",""Lignes Aériennes""]""",
Group BRESTL31PARIS_9_Lignes_Souterraines_PapierImpregne,Lignes Souterraines,3,HTB1,"""[""ANJOU"",""Lignes Souterraines""]""",
Group BRESTL32LILLE_10_22_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL32LILLE_10_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL32LILLE_10_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL32LILLE_1_21_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL32LILLE_1_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL32LILLE_1_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL32LILLE_2_23_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL32LILLE_2_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL32LILLE_2_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL32LILLE_3_24_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL32LILLE_3_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL32LILLE_3_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL32LILLE_4_25_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL32LILLE_4_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL32LILLE_4_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL32LILLE_5_26_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL32LILLE_5_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL32LILLE_5_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL32LILLE_6_27_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL32LILLE_6_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL32LILLE_6_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL32LILLE_7_28_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL32LILLE_7_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL32LILLE_7_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL32LILLE_8_29_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL32LILLE_8_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL32LILLE_8_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL32LILLE_9_30_Pylones_Bois,Pylônes,1,HTB1,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL32LILLE_9_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB1,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL32LILLE_9_Lignes_Souterraines_HuileFluide,Lignes Souterraines,3,HTB1,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL61LILLE_10_32_Pylones_Beton,Pylônes,1,HTB3,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL61LILLE_10_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB3,"""[""BRETAGNE"",""Lignes Aériennes""]""",
Group BRESTL61LILLE_10_Lignes_Souterraines_Oleostatique,Lignes Souterraines,3,HTB3,"""[""BRETAGNE"",""Lignes Souterraines""]""",
Group BRESTL61LILLE_1_31_Pylones_Beton,Pylônes,1,HTB3,"""[""BRETAGNE"",""Pylônes""]""",
Group BRESTL61LILLE_1_Lignes_Aeriennes_Homogene,Lignes Aériennes,3,HTB3,"""[""BRETAGNE"",""Lignes Aériennes""]""",
