id,Quantity,InstallationDate,HealthScore,DateOfLastSpecificAction,DateOfLastStateRecording,ExtraArea,EnvironmentAgingRate,KnownApparentAge,SAIDI15min,ExtraAreaLevel2,EstimatedDowntime,CustomData_Number,CustomData_String,ConsequenceSpecificQuantity
BREST_P31_L32LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,1,1977-01-01,3,2012-06-12,2010-04-18,POITOU CHARENTES,1,0,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P31_L32LILLE_HT_Electre_Controles_Commande_Local_Tranche_Analogique,1,1970-01-01,5,2010-04-17,2010-12-28,BRETAGNE,1,5,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P31_L32LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,1,1974-01-01,1,2012-03-04,2014-12-10,BRETAGNE,1,0,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P31_L32LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,1,2001-01-01,14,2014-01-10,2014-10-09,BRETAGNE,1,2,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P31_Y631_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,1,1970-01-01,5,2011-07-25,2011-06-02,BRETAGNE,1,2,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P31_Y631_HT_DJ_HPGE_9_12E_Disjoncteurs_DJ_40,1,1981-01-01,34,2013-04-28,2013-07-02,BRETAGNE,1,10,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P31_Y631_HT_S_5361_Rep_LT_Sectionneurs_SA_50,1,1963-01-01,2,2010-10-02,2010-05-15,BRETAGNE,1,2,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P31_Y631_HT_TT_VTS72_33_70P1_Transformateurs_de_Mesure_TDM_50,1,1968-01-01,47,2014-04-14,2010-08-19,BRETAGNE,1,0,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P31_Y631_HT_Y_Sans_Type_Transformateurs_de_Puissance_TDP,1,1990-01-01,5,2011-06-02,2010-01-18,BRETAGNE,1,4,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P32_BC31_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,1,1958-01-01,57,2011-11-13,2012-03-16,BRETAGNE,1,37,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P32_L31LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,1,2002-01-01,13,2011-05-09,2011-05-24,BRETAGNE,1,0,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P32_L32LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,1,1991-01-01,4,2014-05-14,2014-11-02,BRETAGNE,1,1,1,NANTES,7.01923,,"{""RateLevel"":""HTB1""}",
BREST_P61_BC61_HT_DJ_OP63_Disjoncteurs_DJ_50,1,1961-01-01,4,2012-03-22,2012-05-26,BRETAGNE,1,2,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_BC61_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,1,1951-01-01,4,2011-03-13,2012-04-10,BRETAGNE,1,3,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_BO61_HT_SansType_Controles_Commande_Local_FondPoste_Analogique,1,1950-01-01,65,2011-05-08,2013-06-12,BRETAGNE,1,0,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_L61LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,1,1978-01-01,37,2013-10-22,2014-03-17,BRETAGNE,1,31,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_L61LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,1,1985-01-01,30,2011-06-06,2011-03-07,POITOU CHARENTES,1,3,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_L61LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,1,1969-01-01,6,2010-05-01,2014-12-14,BRETAGNE,1,2,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_L61LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,1,1992-01-01,3,2013-07-22,2010-07-19,BRETAGNE,1,3,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_L61PARIS_HT_DJ_FXT_72_Disjoncteurs_DJ_35,1,1977-01-01,3,2012-11-28,2012-06-03,BRETAGNE,1,3,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_L61PARIS_HT_Electre_Controles_Commande_Local_Tranche_Analogique,1,1973-01-01,2,2012-08-26,2011-02-22,BRETAGNE,1,0,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_L61PARIS_HT_S_SPE_72_2_Rep_LT_Sectionneurs_SA_45,1,1976-01-01,39,2010-10-03,2014-05-15,BRETAGNE,1,36,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_L61PARIS_HT_TC_SDA_72_90_Transformateurs_de_Mesure_TDM>=30,1,1993-01-01,22,2012-03-27,2011-10-06,BRETAGNE,1,5,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_L62LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,1,1979-01-01,36,2011-12-03,2010-01-23,BRETAGNE,1,7,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_L62LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,1,1976-01-01,4,2011-07-04,2011-01-19,POITOU CHARENTES,1,1,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_L62LILLE_HT_Electre_Controles_Commande_Local_Tranche_Analogique,1,1979-01-01,36,2012-08-06,2013-07-19,POITOU CHARENTES,1,26,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_L62LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,1,1972-01-01,3,2010-09-24,2013-07-16,BRETAGNE,1,0,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_L62LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,1,2003-01-01,12,2013-03-25,2011-07-16,BRETAGNE,1,7,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_Y631_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,1,1970-01-01,5,2012-12-19,2010-12-21,BRETAGNE,1,2,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_Y631_HT_DJ_HPGE_9_12E_Disjoncteurs_DJ_40,1,1978-01-01,37,2011-07-07,2013-11-19,BRETAGNE,1,19,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_Y631_HT_S_5361_Rep_LT_Sectionneurs_SA_50,1,1965-01-01,50,2012-01-13,2012-07-12,BRETAGNE,1,7,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_Y631_HT_TT_VTS72_33_70P1_Transformateurs_de_Mesure_TDM_50,1,1968-01-01,47,2011-03-23,2010-05-21,BRETAGNE,1,9,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_Y761_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,1,1966-01-01,9,2011-12-09,2011-08-23,BRETAGNE,1,0,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_Y761_HT_DJ_HPGE_9_12E_Disjoncteurs_DJ_40,1,1983-01-01,32,2012-04-10,2012-12-27,BRETAGNE,1,30,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_Y761_HT_S_5361_Rep_LT_Sectionneurs_SA_50,1,1971-01-01,44,2012-09-17,2011-03-21,BRETAGNE,1,12,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_Y761_HT_TT_VTS72_33_70P1_Transformateurs_de_Mesure_TDM_50,1,1970-01-01,45,2010-02-21,2013-02-02,BRETAGNE,1,12,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P61_Y761_HT_Y_Sans_Type_Transformateurs_de_Puissance_TDP,1,1990-01-01,5,2013-07-02,2010-08-13,BRETAGNE,1,5,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P62_BC61_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,1,1952-01-01,3,2013-03-23,2014-08-20,BRETAGNE,1,3,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P62_L61LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,1,2003-01-01,12,2012-10-04,2010-02-24,BRETAGNE,1,0,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P62_L62LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,1,1995-01-01,20,2014-12-16,2014-08-14,BRETAGNE,1,20,1,NANTES,7.01923,,"{""RateLevel"":""HTB2""}",
BREST_P71_BC71_HT_DJ_OP63_Disjoncteurs_DJ_50,1,1968-01-01,47,2014-08-21,2014-07-02,BRETAGNE,1,16,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_BC71_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,1,1955-01-01,60,2011-03-24,2012-04-13,ATLANTIQUE,1,42,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_BO71_HT_SansType_Controles_Commande_Local_FondPoste_Analogique,1,1950-01-01,65,2013-10-21,2012-04-04,BRETAGNE,1,6,1,NANTES,21.0577,,"{""RateLevel"":""HTB3""}",
BREST_P71_L71LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,1,1970-01-01,5,2014-04-24,2012-05-11,BRETAGNE,1,2,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_L71LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,1,1976-01-01,4,2011-09-24,2011-06-11,POITOU CHARENTES,1,3,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_L71LILLE_HT_Electre_Controles_Commande_Local_Tranche_Analogique,1,1970-01-01,5,2012-09-20,2014-05-24,POITOU CHARENTES,1,4,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_L71LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,1,1982-01-01,33,2010-10-04,2014-05-25,BRETAGNE,1,2,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_L71LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,1,1989-01-01,6,2010-01-02,2010-03-22,BRETAGNE,1,2,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_L71PARIS_HT_DJ_FXT_72_Disjoncteurs_DJ_35,1,1979-01-01,1,2014-10-02,2012-07-10,BRETAGNE,1,0,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_L71PARIS_HT_Electre_Controles_Commande_Local_Tranche_Analogique,1,1972-01-01,3,2010-04-11,2014-09-20,BRETAGNE,1,3,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_L71PARIS_HT_S_SPE_72_2_Rep_LT_Sectionneurs_SA_45,1,1975-01-01,40,2010-08-03,2013-08-20,BRETAGNE,1,1,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_L71PARIS_HT_TC_SDA_72_90_Transformateurs_de_Mesure_TDM>=30,1,1990-01-01,25,2013-02-07,2010-05-18,BRETAGNE,1,8,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_L72LILLE_HT_Daphnee_Controles_Commande_Local_Tranche_Analogique,1,1965-01-01,10,2010-02-07,2014-10-13,BRETAGNE,1,3,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_L72LILLE_HT_DJ_FXT_72_Disjoncteurs_DJ_35,1,1988-01-01,27,2013-08-03,2011-10-26,POITOU CHARENTES,1,15,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_L72LILLE_HT_Electre_Controles_Commande_Local_Tranche_Analogique,1,1976-01-01,39,2010-10-02,2010-07-01,POITOU CHARENTES,1,39,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_L72LILLE_HT_S_5930_Rep_A1_Sectionneurs_SA_40,1,1970-01-01,5,2013-11-08,2010-07-15,BRETAGNE,1,3,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_L72LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,1,1999-01-01,16,2012-11-16,2011-07-11,BRETAGNE,1,13,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_Y761_HT_DJ_HPGE_9_12E_Disjoncteurs_DJ_40,1,1983-01-01,32,2012-07-06,2014-07-09,BRETAGNE,1,23,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_Y761_HT_Electre_Controles_Commande_Local_Tranche_Analogique,1,1968-01-01,7,2013-03-06,2012-05-05,BRETAGNE,1,0,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_Y761_HT_S_5361_Rep_LT_Sectionneurs_SA_50,1,1968-01-01,47,2013-05-20,2014-08-12,BRETAGNE,1,6,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P71_Y761_HT_TT_VTS72_33_70P1_Transformateurs_de_Mesure_TDM_50,1,1962-01-01,3,2010-07-05,2011-02-04,BRETAGNE,1,0,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P72_BC71_HT_S_SR_16200_Rep_A1_Sectionneurs_SA_60,1,1961-01-01,54,2014-04-15,2012-01-27,ATLANTIQUE,1,36,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BREST_P72_L71LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,1,1993-01-01,2,2013-12-18,2012-01-13,BRETAGNE,1,0,1,NANTES,,,"{""RateLevel"":""HTB3""}",
BREST_P72_L72LILLE_HT_TC_GIF72_5_58_J_2_1_Transformateurs_de_Mesure_TDM<=30,1,1999-01-01,16,2013-03-07,2012-12-03,BRETAGNE,1,9,1,NANTES,7.01923,,"{""RateLevel"":""HTB3""}",
BRESTL31LILLE_10_2_Pylones_Bois,1,1991-01-01,4,2013-08-15,2013-03-20,BRETAGNE,1,0,1,NANTES,,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_10_Lignes_Aeriennes_Homogene,3,1909-01-01,106,2011-01-20,2013-10-06,BRETAGNE,1,24,1,NANTES,,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_10_Lignes_Souterraines_HuileFluide,3,1953-01-01,62,2011-04-16,2013-11-11,BRETAGNE,1,13,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_1_1_Pylones_Bois,1,1986-01-01,9,2014-04-11,2012-04-16,BRETAGNE,1,8,1,,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_1_Lignes_Aeriennes_Homogene,3,1917-01-01,98,2011-06-13,2011-08-21,BRETAGNE,1,39,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_1_Lignes_Souterraines_HuileFluide,3,1962-01-01,53,2010-07-21,2011-11-26,BRETAGNE,1,37,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_2_3_Pylones_Bois,1,1995-01-01,20,2012-05-14,2014-04-02,BRETAGNE,1,12,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_2_Lignes_Aeriennes_Homogene,3,1876-01-01,19,2013-12-09,2014-12-02,BRETAGNE,1,0,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_2_Lignes_Souterraines_HuileFluide,3,1935-01-01,15,2010-12-21,2013-08-02,BRETAGNE,1,8,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_3_4_Pylones_Bois,1,1986-01-01,9,2011-07-17,2011-09-11,BRETAGNE,1,5,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_3_Lignes_Aeriennes_Homogene,3,1898-01-01,117,2012-08-21,2011-06-06,BRETAGNE,1,17,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_3_Lignes_Souterraines_HuileFluide,3,1962-01-01,53,2012-06-18,2013-05-08,BRETAGNE,1,30,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_4_5_Pylones_Bois,1,1985-01-01,10,2014-08-04,2010-12-22,BRETAGNE,1,2,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_4_Lignes_Aeriennes_Homogene,3,1929-01-01,86,2014-07-10,2013-11-17,BRETAGNE,1,59,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_4_Lignes_Souterraines_HuileFluide,3,1947-01-01,3,2010-02-18,2012-10-06,BRETAGNE,1,2,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_5_6_Pylones_Bois,1,1995-01-01,20,2013-04-13,2012-08-05,BRETAGNE,1,10,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_5_Lignes_Aeriennes_Homogene,3,1911-01-01,104,2010-01-07,2012-06-08,BRETAGNE,1,26,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_5_Lignes_Souterraines_HuileFluide,3,1962-01-01,53,2013-01-23,2011-07-25,BRETAGNE,1,23,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_6_7_Pylones_Bois,1,1985-01-01,10,2013-07-12,2011-07-17,BRETAGNE,1,3,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_6_Lignes_Aeriennes_Homogene,3,1866-01-01,29,2013-05-21,2012-07-25,BRETAGNE,1,2,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_6_Lignes_Souterraines_HuileFluide,3,1946-01-01,4,2011-03-15,2010-01-15,BRETAGNE,1,3,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_7_8_Pylones_Bois,1,1985-01-01,10,2014-05-27,2011-04-07,BRETAGNE,1,3,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_7_Lignes_Aeriennes_Homogene,3,1930-01-01,85,2013-11-19,2010-06-18,BRETAGNE,1,34,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_7_Lignes_Souterraines_HuileFluide,3,1941-01-01,9,2010-11-16,2012-04-05,BRETAGNE,1,7,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_8_9_Pylones_Bois,1,1997-01-01,18,2010-02-16,2012-02-04,BRETAGNE,1,8,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_8_Lignes_Aeriennes_Homogene,3,1851-01-01,44,2013-05-18,2011-07-27,BRETAGNE,1,42,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_8_Lignes_Souterraines_HuileFluide,3,1931-01-01,19,2010-02-05,2010-05-22,BRETAGNE,1,14,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_9_10_Pylones_Bois,1,1992-01-01,3,2012-09-10,2011-01-10,BRETAGNE,1,0,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_9_Lignes_Aeriennes_Homogene,3,1867-01-01,28,2011-12-08,2011-06-26,BRETAGNE,1,16,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31LILLE_9_Lignes_Souterraines_HuileFluide,3,1943-01-01,7,2014-06-01,2014-01-04,BRETAGNE,1,2,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31PARIS_10_12_Pylones_Beton,1,1993-01-01,2,2013-01-07,2014-10-01,ANJOU,1,2,1,NANTES,7.01923,"{""LinearMassDensity"":0.1,""LinearMassDensityReference"":0.9,""MeanHumidity"":0.5,""MeanTemperature"":10}","{""RateLevel"":""HTB1""}",
BRESTL31PARIS_10_Lignes_Aeriennes_AluminiumAcier,3,1927-01-01,3,2010-03-08,2013-11-16,ANJOU,1,2,1,,,"{""Weight"":15}","{""Comment"":""Comment #1"",""IsActif"":""true"",""RateLevel"":""HTB1"",""SerialNumber"":""AgCo_1""}","{""FinancialConsequence"":6.0,""EnvironmentalConsequence"":2.0,""NetworkConsequence"":44.0}"
